,title,d23_link,summary
453,Crimson Tide,a-to-z/crimson-tide-film/,"When an American emergency patrol on a nuclear submarine receives an urgent but unverified message to launch a strike against rebel Russian missile sites, confusion and chaos erupt on board between rival officers, bringing the world to the brink of nuclear disaster. Released on May 12, 1995. Directed by Tony Scott. 116 min. A Hollywood Pictures film. Stars Denzel Washington (Hunter), Gene Hackman (Ramsey), George Dzundza (Cob), Viggo Mortensen (Weps), James Gandolfini (Lt. Bobby Daugherty), Matt Craven (Zimmer). Filmed in CinemaScope. Sets for the interior of the USS Alabama were constructed at the Culver Studios, with the largest hydraulic gimbal ever constructed created to simulate the sub's movement. One scene about the flooding of the Alabama's bilge bay was shot for 14 hours one night in the chilly waters of the Culver City Municipal Pool. A 44-foot square cargo container housing the sets and cast was slowly lowered into the pool while the cameras rolled. Filming took place over 15 weeks, aided by two technical advisers who were both former commanding officers of the real USS Alabama. Released on video in 1995."
454,"Crimson Wing, The: Mystery of the Flamingos",a-to-z/crimson-wing-the-mystery-of-the-flamingos-film/,"Disneynature documentary about flamingos on the shores of Lake Natron in northern Tanzania. Directed by Matthew Aeberhard and Leander Ward. First released in France on December 17, 2008; DVD release in the U.S. on October 19, 2010."
455,Crossing the Bridge,a-to-z/crossing-the-bridge-film/,"Three teenage buddies, tempted by the promise of a lot of cash, confront their values and ethics when a pal asks them to smuggle drugs across the U.S./Canada border bridge. When the boys discover the package contains heroin instead of the promised hashish, they come to realize that their actions, and the potential consequences, may well affect them for the rest of their lives. Released on September 11, 1992. Directed by Mike Bender. A Touchstone film. 103 min. Stars Josh Charles (Mort Golden), Jason Gedrick (Tim Reese), Stephen Baldwin (Danny Morgan), Jeffrey Tambor (Uncle Alby). The filmmakers did careful research to set the movie in the 1970s, with primary filming taking place in Minneapolis. Released on video in 1993."
456,Cruise of the Eagle,a-to-z/cruise-of-the-eagle-film/,"People and Places featurette; released on March 19, 1959. Produced by Ben Sharpsteen. The varied and important services of the U.S. Coast Guard are glimpsed. They warn ships of dangerous shoals, keep sea lanes open with icebreakers, face gale and hurricane to accurately forecast the weather in remote areas of the Atlantic and Pacific, and perform rescue services to ships and downed aircraft. We are also told of a training program of men of the Coast Guard and their many hardships. Filmed in CinemaScope. 18 min."
457,Cured Duck,a-to-z/cured-duck-film/,"Donald Duck cartoon; released on October 26, 1945. Directed by Jack King. Daisy disgusted with Donald's temper, forces him to take a course to cure it with the aid of an ""insult"" machine. He is cured and returns to Daisy, but he laughs at her hat, which causes her to go into a rage, ending in a fight."
458,Cycles,a-to-z/cycles-film/,"Experimental animated short film; premiered August 12, 2018, at the SIGGRAPH computer graphics conference, followed by a January 24, 2020, release on Disney+. The story centers on the true meaning of creating a home and the life inside it. Directed by Jeff Gipson. 3 min. First virtual reality short film from Walt Disney Animation Studios. Part of the Short Circuit program. See also Short Circuit."
459,D.A.R.E. to Be Aware: Angela's Story,a-to-z/d-a-r-e-to-be-aware-angelas-story-film/,"Educational release in January 1993. 10 min. A girl risks losing her boyfriend when she refuses to do drugs, but he respects her for her decision."
460,D.A.R.E. to Be Aware: Lauren's Story,a-to-z/d-a-r-e-to-be-aware-laurens-story-film/,"Educational release in December 1993. 14 min. A teen is angry with her parents, but her counselor suggests she try dealing differently with her anger than her usual retreat to her room to smoke a joint. She should listen to others' points of view and calmly state her own."
461,D.A.R.E. to Be Aware: Matt's Story,a-to-z/d-a-r-e-to-be-aware-matts-story-film/,"Educational release in November 1992. 11 min. A teen is booked for drunk driving at the police station, and though he argues he was not drunk, the policeman tells him about the alcohol content of beer and explains the consequences of his actions-he hit a car badly injuring a little boy."
462,D.A.R.E. to Be Aware: Michael's Story,a-to-z/d-a-r-e-to-be-aware-michaels-story-film/,"Educational release in November 1992. 12 min. Two boys are in trouble, owing $800 to a local drug dealer, so they turn to theft."
463,D.A.R.E. to Be Aware: Steve's Story,a-to-z/d-a-r-e-to-be-aware-steves-story-film/,"Educational release in December 1993. 10 min. Rachel throws a party at her home, but her boyfriend, Steve, gets drunk on beer and becomes violent."
464,D.A.R.E. to Care: A Program for Parents,a-to-z/d-a-r-e-to-care-a-program-for-parents-film/,Educational release in 16mm in April 1991. 18 min. A video version at 27 min. was released in October 1992. Narrated by Edward James Olmos. Today's parents face a very difficult challenge-finding a way to keep their kids safe from drugs.
465,"D.A.R.E. to Say ""No""",a-to-z/d-a-r-e-to-say-no-film/,"Educational film; in the EPCOT Educational Media Collection, released in September 1988. 16 min. Drug Abuse Resistance Education (D.A.R.E.) presents reasons why kids should resist peer pressure and refuse drugs."
466,D.O.A.,a-to-z/d-o-a-film/,"College professor Dexter Cornwell discovers he has been poisoned by a fatal, slow-acting toxin, and he has only 24 hours to unravel the mystery of his imminent demise. Enlisting the aid of Sydney Fuller, a naive student who has a crush on him, he soon becomes enmeshed in a series of murders as he attempts to find out who killed him-and why. Released on March 18, 1988. Directed by Rocky Morton and Annabel Jankel. A Touchstone film. 100 min. Stars Dennis Quaid (Dexter Cornell), Meg Ryan (Sydney Fuller), Daniel Stern (Hal Petersham), Charlotte Rampling (Mrs. Fitzwaring). Filmed on location in and around Austin, Texas. Released on video in 1988 and 1990."
467,D2: The Mighty Ducks,a-to-z/d2-the-mighty-ducks-film/,"After an injury sidelines his career, the aggressive lawyer-turned-coach, Gordon Bombay, spends his days sharpening other people's skate blades at the local sport shop. However, when he is recruited to coach Team USA at the Junior Goodwill Games in Los Angeles, Gordon is reluctantly drawn back to the rink he has come to resent. He reunites his team of misfits to train in California, but the Ducks are quickly dazzled by the West Coast lifestyle, and the lure of earning big bucks with product endorsements. The players neglect their game, and the world championship seems an impossible goal unless Gordon can turn his once plucky players back into a dream team. Released on March 25, 1994. Directed by Sam Weisman. 107 min. Stars Emilio Estevez (Gordon Bombay), Michael Tucker (Tibbles), Jan Rubes (Jan), Kathryn Erbe (Michelle Mackahy), Joshua Jackson (Charlie). A sequel to The Mighty Ducks. The climactic championship face-off between Team USA and the Iceland team was filmed at the new Anaheim Arena, ""The Arrowhead Pond,"" where the Disney-owned Mighty Ducks NHL team plays. Among the 24,000 extras recruited to fill the stands were many local residents and cast members from nearby Disneyland. Parts of the movie were filmed on location in Minneapolis. Released on video in 1994."
468,D3: The Mighty Ducks,a-to-z/d3-the-mighty-ducks-film/,"Gordon Bombay and the Ducks are back in Minneapolis fresh from the victories at the Goodwill Games. They have much to celebrate when they find out they've been given scholarships to the prestigious Eden Hall Academy. Once in the hallowed halls of Eden however, the Ducks, led by team captain Charlie Conway, lose some of their focus. They become the junior varsity of the Eden Hall Warriors, resist an aggressive new coach, and suffer indignities heaped upon them by the preppy varsity team who resent their coming to the school. Eventually the players bond with their coach and face a final test in an exciting showdown game against the varsity bullies. Even in the face of adversaries twice their size, the Duck spirit prevails. Released on October 4, 1996. Directed by Rob Lieberman. Stars Emilio Estevez (Gordon Bombay), Jeffrey Nordling (Orion), Joshua Jackson (Charlie), David Selby (Dean Buckley), Heidi Kling (Casey). 104 min. Doubling for the fictitious Eden Hall Academy was the College of St. Catherine, in St. Paul, Minnesota. For the film, the crew also completely refurbished the Columbia Ice Arena in Anoka County. Sequel to The Mighty Ducks and D2: The Mighty Ducks. Released on video in 1997."
469,"Dad, Can I Borrow the Car?",a-to-z/dad-can-i-borrow-the-car-film/,"Special cartoon featurette; released on September 30, 1970. A young man humorously traces his involvement with ""wheels"" from his own birth, through childhood and teenage activities, including that important question, ""Dad, can I borrow the car?"" Then, an even more important topic comes up-love. But this only leads to a dune buggy wedding-and the wheels roll on. Directed by Ward Kimball. 22 min. Narrated by Kurt Russell. Released on video in 1986."
470,Daddy Duck,a-to-z/daddy-duck-film/,"Donald Duck cartoon; released on April 16, 1948. Directed by Jack Hannah. When he adopts Joey, a young kangaroo, Donald finds out the hard way how difficult it is to be a parent. After a difficult bath time, Donald pretends that a bear rug has swallowed him. Joey rushes in and beats up the ""bear"" severely, so that by nap time, Donald needs a nap far worse than Joey does."
471,Dan in Real Life,a-to-z/dan-in-real-life-film/,"Dan Burns has a popular newspaper advice column, called ""Dan in Real Life,"" but he has less success as a widower raising three daughters. When the family travels to his parents' house for a family reunion, Dan becomes infatuated with a woman, Marie, in a local book store, only to later discover that she is the new girlfriend of his brother. Tensions arise as both Dan and Marie are staying in the same house, but trying to keep the fact that they have met and been attracted to each other a secret. Released on October 26, 2007. A Touchstone Picture. Directed by Peter Hedges. Stars Steve Carell (Dan), Juliette Binoche (Marie), Dane Cook (Mitch), Dianne Wiest (Nana), John Mahoney (Poppy), Emily Blunt (Ruthie Draper), Amy Ryan (Eileen), Alison Pill (Jane), Brittany Robertson (Cara), Marlene Lawston (Lilly), Norbert Leo Butz (Clay), Jessica Hecht (Amy), Frank Wood (Howard). 98 min. Filmed in Rhode Island. Riven Rock, an all-wood beach house with a wraparound porch on Narragansett Bay in Jamestown became the Burns family home."
